Year,Count
1940,1
1942,2
1943,1
1945,1
1946,2
1947,1
1948,2
1949,2
1950,11
1951,11
1952,7
1953,26
1954,18
1955,18
1956,18
1957,32
1958,19
1959,40
1960,33
1961,29
1962,25
1963,15
1964,21
1965,18
1966,10
1967,21
1968,10
1969,13
1970,19
1971,14
1972,11
1973,25
1974,33
1975,23
1976,32
1977,28
1978,30
1979,19
1980,22
1981,42
1982,42
1983,30
1984,53
1985,51
1986,41
1987,42
1988,33
1989,65
1990,45
1991,53
1992,60
1993,46
1994,51
1995,62
1996,111
1997,102
1998,88
1999,68
2000,84
2001,52
2002,64
2003,71
2004,87
2005,61
2006,74
2007,43
2008,58
2009,61
2010,55
2011,47
2012,55
2013,51
2014,57
2015,70
2016,55
2017,84
2018,87
2019,74
2020,81
2021,75
2022,66
2023,86
2024,88
2025,89
2026,28
