application_number,brand_name,generic_name,company,approval_year,submission_class
NDA002282,N/A,N/A,N/A,1940,Type 4 - New Combination
NDA004782,CONJUGATED ESTROGENS,"ESTROGENS, CONJUGATED",Prasco Laboratories,1942,Type 1 - New Molecular Entity
NDA005010,N/A,N/A,N/A,1942,Type 1 - New Molecular Entity
NDA005213,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,Genus Lifesciences Inc.,1943,Type 1 - New Molecular Entity
NDA005795,N/A,N/A,N/A,1945,Type 3 - New Dosage Form
NDA005970,N/A,N/A,N/A,1946,Type 1 - New Molecular Entity
NDA005845,N/A,N/A,N/A,1946,Type 1 - New Molecular Entity
NDA006146,N/A,N/A,N/A,1947,Type 3 - New Dosage Form
NDA006412,N/A,N/A,N/A,1948,Type 1 - New Molecular Entity
NDA005914,N/A,N/A,N/A,1948,Type 1 - New Molecular Entity
NDA006632,N/A,N/A,N/A,1949,Type 1 - New Molecular Entity
NDA006695,N/A,N/A,N/A,1949,Type 1 - New Molecular Entity
NDA007073,AZULFIDINE EN-TABS,SULFASALAZINE,Pfizer Laboratories Div Pfizer Inc,1950,Type 1 - New Molecular Entity
NDA007337,N/A,N/A,N/A,1950,Type 4 - New Combination
NDA007529,N/A,N/A,N/A,1950,Type 2 - New Active Ingredient
NDA007638,N/A,N/A,N/A,1950,Type 3 - New Dosage Form
NDA007392,N/A,N/A,N/A,1950,Type 2 - New Active Ingredient
NDA007517,N/A,N/A,N/A,1950,Type 1 - New Molecular Entity
NDA007513,LEVOPHED,NOREPINEPHRINE BITARTRATE,"Hospira, Inc.",1950,Type 1 - New Molecular Entity
NDA007750,N/A,N/A,N/A,1950,Type 3 - New Dosage Form
NDA007335,N/A,N/A,N/A,1950,Type 1 - New Molecular Entity
NDA007504,N/A,N/A,N/A,1950,Type 1 - New Molecular Entity
NDA007409,N/A,N/A,N/A,1950,Type 1 - New Molecular Entity
NDA007390,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA008248,N/A,N/A,N/A,1951,Type 3 - New Dosage Form
NDA007935,N/A,N/A,N/A,1951,Type 3 - New Dosage Form
NDA007936,N/A,N/A,N/A,1951,Type 3 - New Dosage Form
NDA007883,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA008032,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA007961,N/A,N/A,N/A,1951,Type 3 - New Dosage Form
NDA008048,N/A,N/A,N/A,1951,Type 2 - New Active Ingredient
NDA007959,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA008228,N/A,N/A,N/A,1951,Type 2 - New Active Ingredient
NDA007794,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA008592,N/A,N/A,N/A,1952,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA008453,ANECTINE,SUCCINYLCHOLINE CHLORIDE,Sandoz Inc,1952,Type 1 - New Molecular Entity
NDA008107,N/A,N/A,N/A,1952,Type 1 - New Molecular Entity
NDA008370,N/A,N/A,N/A,1952,Type 3 - New Dosage Form
NDA008278,N/A,N/A,N/A,1952,Type 1 - New Molecular Entity
NDA008662,N/A,N/A,N/A,1952,Type 3 - New Dosage Form
NDA008306,N/A,N/A,N/A,1952,Type 4 - New Combination
NDA009000,N/A,N/A,N/A,1953,Type 4 - New Combination
NDA008578,PYRIMETHAMINE,PYRIMETHAMINE,"OAKRUM PHARMA, LLC",1953,Type 1 - New Molecular Entity
NDA009165,N/A,N/A,N/A,1953,Type 2 - New Active Ingredient
NDA008708,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008816,N/A,N/A,N/A,1953,Type 3 - New Dosage Form
NDA008855,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008085,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008693,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA009182,N/A,N/A,N/A,1953,Type 2 - New Active Ingredient
