Year,All_Approvals_Type1to4_10,NME_Approvals_Type1
1940,1,0
1942,2,2
1943,1,1
1945,1,0
1946,2,2
1947,1,0
1948,2,2
1949,2,2
1950,11,6
1951,11,5
1952,7,4
1953,26,15
1954,18,12
1955,18,7
1956,18,10
1957,32,16
1958,19,8
1959,40,18
1960,33,14
1961,29,13
1962,25,11
1963,15,8
1964,21,10
1965,18,11
1966,10,7
1967,21,11
1968,10,3
1969,13,6
1970,19,9
1971,14,6
1972,11,7
1973,25,8
1974,33,15
1975,23,9
1976,32,18
1977,28,15
1978,30,15
1979,19,10
1980,22,6
1981,42,23
1982,42,21
1983,30,11
1984,53,18
1985,51,24
1986,41,17
1987,42,20
1988,33,13
1989,65,23
1990,45,18
1991,53,31
1992,60,22
1993,46,24
1994,51,20
1995,62,23
1996,111,49
1997,102,33
1998,88,35
1999,68,31
2000,84,23
2001,52,21
2002,64,21
2003,71,23
2004,87,31
2005,61,18
2006,74,22
2007,43,16
2008,58,24
2009,61,23
2010,55,18
2011,47,22
2012,55,28
2013,51,22
2014,57,32
2015,70,39
2016,55,21
2017,84,45
2018,87,49
2019,74,41
2020,81,48
2021,75,43
2022,66,36
2023,86,48
2024,88,45
2025,89,42
2026,28,20
