Year,Count
1942,2
1943,1
1946,2
1948,2
1949,2
1950,6
1951,5
1952,4
1953,15
1954,12
1955,7
1956,10
1957,16
1958,8
1959,18
1960,14
1961,13
1962,11
1963,8
1964,10
1965,11
1966,7
1967,11
1968,3
1969,6
1970,9
1971,6
1972,7
1973,8
1974,15
1975,9
1976,18
1977,15
1978,15
1979,10
1980,6
1981,23
1982,21
1983,11
1984,18
1985,24
1986,17
1987,20
1988,13
1989,23
1990,18
1991,31
1992,22
1993,24
1994,20
1995,23
1996,49
1997,33
1998,35
1999,31
2000,23
2001,21
2002,21
2003,23
2004,31
2005,18
2006,22
2007,16
2008,24
2009,23
2010,18
2011,22
2012,28
2013,22
2014,32
2015,39
2016,21
2017,45
2018,49
2019,41
2020,48
2021,43
2022,36
2023,48
2024,45
2025,42
2026,20
