Reaction,Reports
DRUG INEFFECTIVE,1260873
DEATH,824437
OFF LABEL USE,815402
NAUSEA,752665
FATIGUE,742304
DIARRHOEA,610639
HEADACHE,599915
PAIN,592584
DYSPNOEA,541742
DIZZINESS,476771
VOMITING,446659
MALAISE,423526
RASH,411583
ARTHRALGIA,394793
ASTHENIA,360741
PRURITUS,352941
PYREXIA,332565
FALL,318313
PNEUMONIA,308018
INJECTION SITE PAIN,286056
CONDITION AGGRAVATED,285743
PAIN IN EXTREMITY,284554
ANXIETY,274797
WEIGHT DECREASED,267460
COUGH,266543
INSOMNIA,256741
PRODUCT DOSE OMISSION ISSUE,251363
FEELING ABNORMAL,232684
PRODUCT USE IN UNAPPROVED INDICATION,228206
BACK PAIN,223288
ABDOMINAL PAIN,221922
DEPRESSION,220988
DECREASED APPETITE,220562
WEIGHT INCREASED,211975
INCORRECT DOSE ADMINISTERED,210715
OVERDOSE,209644
CONSTIPATION,204463
HYPERTENSION,203119
ERYTHEMA,196488
ABDOMINAL PAIN UPPER,195610
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,193349
SOMNOLENCE,192673
HYPOTENSION,191978
ALOPECIA,189222
DRUG HYPERSENSITIVITY,187770
GAIT DISTURBANCE,185035
ANAEMIA,183574
BLOOD GLUCOSE INCREASED,182564
CHEST PAIN,178693
HYPERSENSITIVITY,177584
