Drug,Reports
HUMIRA,662607
ENBREL,573229
DUPIXENT,399921
ZANTAC,356179
REVLIMID,350840
ASPIRIN,305986
METFORMIN,289708
PREDNISONE,261759
AMLODIPINE,257750
METHOTREXATE,255239
ATORVASTATIN,247178
PREDNISONE.,221046
ELIQUIS,201417
LYRICA,193296
PANTOPRAZOLE,186494
ASPIRIN.,186069
SYNTHROID,179218
XARELTO,177816
LIPITOR,176881
TYSABRI,176649
PROACTIV MD ADAPALENE ACNE TREATMENT,174817
ACETAMINOPHEN,173500
OXYCONTIN,170097
NEXIUM,169795
OMEPRAZOLE.,169414
VITAMIN D3,165281
REMICADE,164765
VITAMIN D,162710
OMEPRAZOLE,161979
GABAPENTIN.,154883
REPATHA,153887
COSENTYX,153057
TYLENOL,152910
METHOTREXATE.,148085
LISINOPRIL.,147732
PROLIA,147344
DEXAMETHASONE.,143622
CALCIUM,143539
PROACTIV MD DEEP CLEANSING FACE WASH,141973
AVONEX,141726
LISINOPRIL,140567
LASIX,140157
OTEZLA,138832
DEXAMETHASONE,138365
FOLIC ACID,133445
MIRENA,131492
PROACTIV MD DAILY OIL CONTROL SPF 30,130428
SPIRIVA,127695
FUROSEMIDE,126759
GABAPENTIN,126608
